episode_38,7301.0,1.0,"matt"
episode_36,3370.0,1.0,"noise"
episode_37,8774.0,1.0,"liam"
episode_34,2419.0,1.0,"marisha"
episode_39,11397.0,1.0,"matt"
episode_36,1201.0,1.0,"noise"
episode_40,7931.0,1.0,"noise"
episode_34,11728.0,1.0,"matt"
episode_39,4741.0,1.0,"matt"
episode_37,6172.0,1.0,"travis"
episode_34,12869.0,1.0,"matt"
episode_34,9223.0,1.0,"matt"
episode_36,6049.0,1.0,"matt"
episode_32,6755.0,1.0,"matt"
episode_30,3564.0,1.0,"travis"
episode_35,5204.0,1.0,"Multiple Speakers"
episode_36,455.0,1.0,"matt"
episode_37,8363.0,1.0,"sam"
episode_35,6679.0,1.0,"matt"
episode_38,6759.0,1.0,"sam"
episode_37,11085.0,1.0,"Multiple Speakers"
episode_34,14361.0,1.0,"noise"
episode_39,6126.0,1.0,"matt"
episode_36,1262.0,1.0,"sam"
episode_39,11579.0,1.0,"matt"
episode_36,7457.0,1.0,"marisha"
episode_35,5679.0,1.0,"Multiple Speakers"
episode_39,8875.0,1.0,"Noise"
episode_39,4561.0,1.0,"marisha"
episode_37,11634.0,1.0,"matt"
episode_36,7354.0,1.0,"Multiple Speakers"
episode_31,2798.0,1.0,"matt"
episode_35,1847.0,1.0,"matt"
episode_36,3432.0,1.0,"matt"
episode_38,4140.0,1.0,"Multiple Speakers"
episode_33,8781.0,1.0,"Multiple Speakers"
episode_30,3020.0,1.0,"matt"
episode_39,4942.0,1.0,"Multiple Speakers"
episode_39,2689.0,1.0,"matt"
episode_30,7710.0,1.0,"matt"
episode_35,636.0,1.0,"Multiple Speakers"
episode_39,1909.0,1.0,"liam"
episode_37,6637.0,1.0,"Multiple Speakers"
episode_38,3852.0,1.0,"sam"
episode_38,3492.0,1.0,"matt"
episode_34,531.0,1.0,"Multiple Speakers"
episode_35,2538.0,1.0,"sam"
episode_40,1313.0,1.0,"taliesin"
episode_34,857.0,1.0,"sam"
episode_38,742.0,1.0,"matt"
episode_33,3357.0,1.0,"Noise"
episode_32,1384.0,1.0,"matt"
episode_38,6180.0,1.0,"matt"
episode_33,8809.0,1.0,"Multiple Speakers"
episode_39,7597.0,1.0,"Noise"
episode_32,520.0,1.0,"matt"
episode_38,7487.0,1.0,"matt"
episode_40,4896.0,1.0,"matt"
episode_38,5070.0,1.0,"matt"
episode_30,8656.0,1.0,"matt"
episode_36,6905.0,1.0,"Noise"
episode_31,6337.0,1.0,"matt"
episode_30,7415.0,1.0,"matt"
episode_40,9213.0,1.0,"Noise"
episode_38,1149.0,1.0,"laura"
episode_37,9708.0,1.0,"Noise"
episode_31,5200.0,1.0,"marisha"
episode_32,6543.0,1.0,"ashley"
episode_35,4717.0,1.0,"sam"
episode_34,11233.0,1.0,"matt"
episode_31,5542.0,1.0,"Multiple Speakers"
episode_30,4527.0,1.0,"matt"
episode_36,2896.0,1.0,"matt"
episode_32,7836.0,1.0,"matt"
episode_34,2723.0,1.0,"matt"
episode_37,9000.0,1.0,"sam"
episode_38,6680.0,1.0,"matt"
episode_30,8394.0,1.0,"laura"
episode_30,6484.0,1.0,"liam"
episode_37,12427.0,1.0,"matt"
episode_36,6936.0,1.0,"taliesin"
episode_33,9703.0,1.0,"marisha"
episode_36,853.0,1.0,"Multiple Speakers"
episode_32,6748.0,1.0,"matt"
episode_36,2541.0,1.0,"taliesin"
episode_31,3638.0,1.0,"matt"
episode_30,388.0,1.0,"marisha"
episode_30,4917.0,1.0,"Multiple Speakers"
episode_34,12230.0,1.0,"taliesin"
episode_32,11004.0,1.0,"matt"
episode_36,4407.0,1.0,"liam"
episode_39,614.0,1.0,"matt"
